Subject's age,Subject's gender,Subject's race,"Dispositions/Exclusions INTERNAL USE, NOT FOR ANALYSIS",Location of death (state),Cause of death,Date (Year),Age Range
40-50,Male,Race unspecified,Suicide,MI,Gunshot,2011,43
30-40,Male,European-American/White,Unreported,FL,Gunshot,2011,31
60-70,Male,European-American/White,Justified,UT,Gunshot,2011,63
20-30,Male,European-American/White,Unreported,FL,Tasered,2011,23
60-70,Female,European-American/White,Justified,AZ,Gunshot,2011,62
50-60,Male,European-American/White,Grand jury/No bill or Cleared,TX,Gunshot,2011,54
40-50,Male,African-American/Black,Unreported,MI,Medical emergency,2011,48
40-50,Male,Race unspecified,Suicide,NE,Gunshot,2011,47
40-50,Male,Race unspecified,Unreported,GA,Gunshot,2011,46
30-40,Male,African-American/Black,Unreported,OK,Tasered,2011,38
50-60,Male,European-American/White,Unreported,FL,Gunshot,2011,54
50-60,Male,European-American/White,Justified,IA,Gunshot,2011,53
20-30,Male,Race unspecified,Justified,LA,Gunshot,2011,22
50-60,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,53
40-50,Male,Race unspecified,Justified,NV,Gunshot,2011,48
20-30,Male,Race unspecified,Cleared,WI,Vehicle,2011,20
30-40,Male,European-American/White,Ruled suicide,WA,Gunshot,2011,38
30-40,Female,European-American/White,Murder/suicide,WA,Gunshot,2011,38
40-50,Male,Hispanic/Latino,Unreported,AZ,Gunshot,2011,49
20-30,Male,African-American/Black,Unreported,FL,Gunshot,2011,24
30-40,Male,African-American/Black,Suicide,OK,Gunshot,2011,34
20-30,Male,Hispanic/Latino,Unreported,WI,Vehicle,2011,25
50-60,Male,Race unspecified,Unreported,CA,Vehicle,2011,54
30-40,Male,Race unspecified,Unreported,OH,Vehicle,2011,31
30-40,Male,European-American/White,Unreported,NE,Gunshot,2011,37
40-50,Male,European-American/White,Unreported,AZ,Gunshot,2011,48
20-30,Male,African-American/Black,Unreported,GA,Gunshot,2011,20
40-50,Male,European-American/White,Justified by Attorney General,SD,Gunshot,2011,43
20-30,Male,Native American/Alaskan,Justified,MN,Gunshot,2011,28
30-40,Male,African-American/Black,Justified,MD,Gunshot,2011,38
30-40,Male,Asian/Pacific Islander,Unreported,TX,Drug overdose,2011,34
30-40,Male,African-American/Black,Unreported,OH,Gunshot,2011,32
40-50,Male,Race unspecified,Grand jury/No bill or Cleared,NE,Beaten/Bludgeoned with instrument,2011,44
10-20,Male,Race unspecified,Unreported,IA,Vehicle,2011,16
10-20,Male,Race unspecified,Unreported,IA,Vehicle,2011,15
10-20,Male,Race unspecified,Unreported,IA,Vehicle,2011,15
10-20,Male,European-American/White,Unreported,CA,Gunshot,2011,19
30-40,Male,African-American/Black,Justified,OH,Gunshot,2011,32
30-40,Male,Race unspecified,Suicide,VA,Gunshot,2011,35
30-40,Male,European-American/White,Cleared,CA,Tasered,2011,34
30-40,Male,Race unspecified,Unreported,AR,Drug overdose,2011,38
40-50,Male,European-American/White,Cleared by district attorney,GA,Gunshot,2011,45
40-50,Female,European-American/White,Criminal,GA,Gunshot,2011,46
30-40,Male,European-American/White,Justified,IA,Gunshot,2011,39
20-30,Male,European-American/White,Unreported,MA,Gunshot,2011,25
20-30,Male,European-American/White,Justified,UT,Gunshot,2011,23
20-30,Male,African-American/Black,Unreported,FL,Gunshot,2011,24
40-50,Female,Race unspecified,Unreported,MD,Gunshot,2011,40
20-30,Male,Hispanic/Latino,Justified,NM,Gunshot,2011,27
50-60,Male,Race unspecified,Justified,NV,Gunshot,2011,52
30-40,Male,European-American/White,Ruled suicide,TX,Gunshot,2011,38
30-40,Male,European-American/White,Criminal,AR,Tasered,2011,30
50-60,Male,Race unspecified,Unreported,CA,Gunshot,2011,52
50-60,Male,African-American/Black,Unreported,CA,Gunshot,2011,59
50-60,Male,European-American/White,Unreported,SC,Gunshot,2011,58
40-50,Male,Race unspecified,Justified by District Attorney,PA,Gunshot,2011,41
20-30,Male,Asian/Pacific Islander,Unreported,HI,Gunshot,2011,28
20-30,Male,African-American/Black,Unreported,TX,Gunshot,2011,20
30-40,Male,European-American/White,Justified,TN,Gunshot,2011,34
40-50,Male,European-American/White,Unreported,FL,Gunshot,2011,45
40-50,Male,Race unspecified,Unreported,MI,Vehicle,2011,44
40-50,Male,African-American/Black,Unreported,TX,Medical emergency,2011,45
30-40,Male,Race unspecified,Unreported,AL,Gunshot,2011,30
30-40,Male,European-American/White,Unreported,MN,Vehicle,2011,30
0-10,Male,European-American/White,Unreported,MN,Vehicle,2011,0
10-20,Male,African-American/Black,Unreported,MO,Gunshot,2011,18
20-30,Male,Race unspecified,Unreported,AR,Gunshot,2011,28
40-50,Male,African-American/Black,Unreported,GA,Gunshot,2011,45
20-30,Male,African-American/Black,Justified,OH,Gunshot,2011,24
20-30,Male,African-American/Black,Unreported,MD,Gunshot,2011,20
20-30,Male,African-American/Black,Justified,OK,Gunshot,2011,20
30-40,Male,Race unspecified,Unreported,MO,Vehicle,2011,33
20-30,Male,European-American/White,Unreported,WA,Gunshot,2011,25
30-40,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,31
50-60,Female,Race unspecified,Unreported,TN,Gunshot,2011,50
40-50,Male,Hispanic/Latino,Unreported,AZ,Gunshot,2011,40
20-30,Male,African-American/Black,Unreported,IL,Gunshot,2011,27
40-50,Male,European-American/White,Justified,OH,Gunshot,2011,40
20-30,Male,African-American/Black,Justified,PA,Gunshot,2011,23
40-50,Male,Hispanic/Latino,Unreported,TX,Gunshot,2011,46
20-30,Male,African-American/Black,Justified,OH,Gunshot,2011,23
30-40,Male,European-American/White,Justified,MI,Gunshot,2011,37
30-40,Male,European-American/White,Suicide,MI,Gunshot,2011,31
20-30,Male,Race unspecified,Justified,CA,Gunshot,2011,28
40-50,Male,European-American/White,Justified,OK,Gunshot,2011,47
30-40,Male,Hispanic/Latino,Justified,NV,Gunshot,2011,32
40-50,Male,African-American/Black,Unreported,KY,Beaten/Bludgeoned with instrument,2011,47
60-70,Male,European-American/White,Suicide,NJ,Gunshot,2011,66
20-30,Male,European-American/White,Justified,CO,Gunshot,2011,22
30-40,Male,African-American/Black,Unreported,TX,Drug overdose,2011,34
20-30,Male,European-American/White,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),WI,Gunshot,2011,28
30-40,Male,European-American/White,Excusable,FL,Tasered,2011,33
50-60,Male,European-American/White,Unreported,FL,Vehicle,2011,58
70+,Male,European-American/White,Unreported,KY,Gunshot,2011,78
50-60,Male,European-American/White,Justified,CA,Gunshot,2011,52
40-50,Male,European-American/White,Unreported,TX,Gunshot,2011,47
40-50,Male,Race unspecified,Unreported,NC,Tasered,2011,43
20-30,Male,European-American/White,Justified,VA,Gunshot,2011,26
20-30,Male,African-American/Black,Justified,SC,Gunshot,2011,25
20-30,Male,Race unspecified,Unreported,SC,Vehicle,2011,21
20-30,Male,European-American/White,Unreported,IN,Vehicle,2011,27
30-40,Male,African-American/Black,Unreported,MO,Gunshot,2011,30
50-60,Male,European-American/White,Unreported,AL,Gunshot,2011,55
60-70,Male,Asian/Pacific Islander,Unreported,CA,Gunshot,2011,63
30-40,Female,European-American/White,Officer indicted/Acquitted,AL,Vehicle,2011,38
30-40,Male,European-American/White,Officer indicted/Acquitted,AL,Vehicle,2011,31
30-40,Male,African-American/Black,Unreported,FL,Tasered,2011,39
30-40,Male,African-American/Black,Justified,NJ,Gunshot,2011,31
40-50,Male,Asian/Pacific Islander,Unreported,HI,Gunshot,2011,46
10-20,Male,African-American/Black,Unreported,DC,Gunshot,2011,18
20-30,Male,Hispanic/Latino,Ruled suicide,TX,Stabbed,2011,27
40-50,Male,Race unspecified,Grand jury/No bill or Cleared,OH,Gunshot,2011,46
Unknown,Male,Race unspecified,Justified,KS,Gunshot,2011,0
50-60,Female,African-American/Black,Unreported,CA,Gunshot,2011,57
40-50,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,46
20-30,Male,European-American/White,Justified,SC,Gunshot,2011,22
30-40,Male,African-American/Black,Unreported,NJ,Gunshot,2011,39
50-60,Male,European-American/White,Unreported,CA,Gunshot,2011,53
20-30,Male,Hispanic/Latino,Unreported,FL,Gunshot,2011,22
10-20,Male,European-American/White,Unreported,SC,Vehicle,2011,18
30-40,Male,Hispanic/Latino,Ruled suicide,TX,Gunshot,2011,33
40-50,Male,European-American/White,Unreported,LA,Gunshot,2011,45
20-30,Male,African-American/Black,Unreported,FL,Gunshot,2011,21
30-40,Female,European-American/White,Officer indicted/Guilty,KS,Gunshot,2011,34
20-30,Male,European-American/White,Grand jury/No bill or Cleared,OH,Gunshot,2011,27
20-30,Male,African-American/Black,Unreported,IL,Vehicle,2011,26
50-60,Male,Race unspecified,Suicide,AL,Gunshot,2011,51
20-30,Male,Hispanic/Latino,Justified,WA,Gunshot,2011,23
20-30,Male,Race unspecified,Ruled suicide,WI,Gunshot,2011,27
20-30,Male,Hispanic/Latino,Unreported,AZ,Gunshot,2011,27
20-30,Male,African-American/Black,Administrative discipline,MS,Gunshot,2011,23
20-30,Male,African-American/Black,Justified,CT,Tasered,2011,26
Unknown,Male,Race unspecified,Suicide,MD,Gunshot,2011,0
30-40,Male,European-American/White,Unreported,CA,Undetermined,2011,35
50-60,Male,African-American/Black,Criminal,SC,Gunshot,2011,54
10-20,Male,Hispanic/Latino,Unreported,CA,Vehicle,2011,18
30-40,Male,Race unspecified,Ruled suicide,CA,Gunshot,2011,34
10-20,Male,African-American/Black,Unreported,GA,Gunshot,2011,18
10-20,Male,Race unspecified,Unreported,WY,Vehicle,2011,18
50-60,Male,European-American/White,Unreported,WA,Gunshot,2011,58
40-50,Male,European-American/White,Justified,OK,Gunshot,2011,46
10-20,Male,Hispanic/Latino,Grand jury/No bill or Cleared,TX,Gunshot,2011,19
50-60,Male,European-American/White,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),PA,Gunshot,2011,56
Unknown,Male,Race unspecified,Suicide,GA,Gunshot,2011,0
50-60,Male,European-American/White,Unreported,NY,Gunshot,2011,55
20-30,Male,Hispanic/Latino,Unknown,AZ,Gunshot,2011,26
10-20,Male,African-American/Black,Unreported,OH,Vehicle,2011,18
30-40,Male,European-American/White,Unreported,AZ,Gunshot,2011,32
60-70,Male,Race unspecified,Unreported,OH,Gunshot,2011,62
60-70,Male,Race unspecified,Justified,IL,Gunshot,2011,69
40-50,Male,European-American/White,Unreported,NY,Tasered,2011,40
30-40,Male,European-American/White,Cleared,MI,Vehicle,2011,38
10-20,Male,African-American/Black,Justified,TX,Gunshot,2011,15
40-50,Male,European-American/White,Unreported,WA,Gunshot,2011,48
20-30,Male,African-American/Black,Unreported,OH,Vehicle,2011,21
50-60,Male,European-American/White,Justified,NH,Gunshot,2011,50
20-30,Male,European-American/White,Unreported,KS,Vehicle,2011,24
60-70,Male,European-American/White,Grand jury/No bill or Cleared,OH,Gunshot,2011,67
50-60,Male,Race unspecified,Unreported,AK,Gunshot,2011,52
20-30,Male,African-American/Black,Justified,AR,Gunshot,2011,20
20-30,Male,Hispanic/Latino,Grand jury/No bill or Cleared,TX,Gunshot,2011,29
30-40,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,36
20-30,Male,Race unspecified,Unreported,CA,Vehicle,2011,29
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,26
40-50,Male,European-American/White,Unknown,MS,Gunshot,2011,44
40-50,Female,Race unspecified,Justified,OR,Gunshot,2011,42
40-50,Male,Race unspecified,Unreported,KY,Gunshot,2011,44
10-20,Male,African-American/Black,Unreported,PA,Gunshot,2011,19
30-40,Female,African-American/Black,Murder/suicide,CA,Gunshot,2011,38
40-50,Male,African-American/Black,Murder/suicide,CA,Gunshot,2011,43
Unknown,Male,Race unspecified,Suicide,IA,Gunshot,2011,0
20-30,Male,European-American/White,Unreported,AZ,Gunshot,2011,28
20-30,Male,Hispanic/Latino,Justified,NM,Gunshot,2011,22
50-60,Male,African-American/Black,Administrative discipline,CA,Gunshot,2011,51
60-70,Male,Race unspecified,Unreported,FL,Vehicle,2011,66
40-50,Male,European-American/White,Justified,CA,Tasered,2011,43
40-50,Male,African-American/Black,Justified,CA,Gunshot,2011,46
20-30,Male,Race unspecified,Unreported,IL,Drug overdose,2011,26
50-60,Male,Race unspecified,Suicide,NE,Gunshot,2011,51
40-50,Male,Race unspecified,Unknown,MS,Gunshot,2011,41
20-30,Unknown,Race unspecified,Unreported,NY,Gunshot,2011,22
30-40,Male,African-American/Black,Unreported,IL,Gunshot,2011,30
30-40,Male,Asian/Pacific Islander,Justified,NY,Gunshot,2011,35
20-30,Male,Race unspecified,Grand jury/No bill or Cleared,OH,Gunshot,2011,25
20-30,Male,European-American/White,Suicide,OK,Gunshot,2011,20
30-40,Male,European-American/White,Grand jury/No bill or Cleared,TX,Gunshot,2011,34
30-40,Male,Race unspecified,Suicide,VA,Gunshot,2011,39
70+,Male,Race unspecified,Unreported,NC,Gunshot,2011,73
40-50,Male,Race unspecified,Unreported,VA,Gunshot,2011,49
30-40,Male,Hispanic/Latino,Unreported,FL,Gunshot,2011,34
40-50,Male,Race unspecified,Justified,CA,Gunshot,2011,41
50-60,Male,European-American/White,Justified,ID,Gunshot,2011,56
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,29
40-50,Male,European-American/White,Unreported,SC,Gunshot,2011,40
40-50,Male,Race unspecified,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),MI,Gunshot,2011,49
10-20,Male,European-American/White,Unreported,PA,Vehicle,2011,18
20-30,Male,European-American/White,Unreported,MI,Vehicle,2011,20
40-50,Male,European-American/White,Unreported,NY,Gunshot,2011,48
40-50,Male,European-American/White,Cleared,CA,Medical emergency,2011,44
20-30,Male,African-American/Black,Unreported,LA,Tasered,2011,29
10-20,Male,European-American/White,Justified,WA,Gunshot,2011,18
30-40,Male,European-American/White,Unreported,GA,Gunshot,2011,33
30-40,Male,African-American/Black,Unreported,CA,Gunshot,2011,30
20-30,Male,African-American/Black,Justified,CA,Gunshot,2011,23
30-40,Male,European-American/White,Justified by Attorney General,SD,Gunshot,2011,30
30-40,Male,African-American/Black,Justified,CA,Gunshot,2011,30
30-40,Male,Hispanic/Latino,Suicide,CO,Gunshot,2011,34
0-10,Male,Hispanic/Latino,Murder/suicide,CO,Gunshot,2011,2
30-40,Male,European-American/White,Justified,GA,Gunshot,2011,34
40-50,Female,European-American/White,Justified,NH,Gunshot,2011,47
30-40,Male,Race unspecified,Justified by State's Attorney,CT,Gunshot,2011,33
50-60,Male,Race unspecified,Suicide,PA,Gunshot,2011,51
Unknown,Male,Race unspecified,Unreported,KS,Vehicle,2011,0
30-40,Male,European-American/White,Justified,OK,Gunshot,2011,30
30-40,Male,African-American/Black,Excusable,NY,Gunshot,2011,33
40-50,Male,Hispanic/Latino,Justified,CA,Gunshot,2011,44
10-20,Male,Race unspecified,Unreported,PA,Gunshot,2011,18
40-50,Male,Race unspecified,Unreported,AR,Gunshot,2011,40
20-30,Male,African-American/Black,Unreported,PA,Gunshot,2011,22
10-20,Male,Race unspecified,Unreported,WI,Vehicle,2011,19
20-30,Male,Race unspecified,Unreported,WI,Vehicle,2011,29
20-30,Male,Race unspecified,Unreported,WI,Vehicle,2011,25
30-40,Female,African-American/Black,Justified,TN,Gunshot,2011,30
40-50,Male,European-American/White,Accidental,TX,Other,2011,44
30-40,Male,Native American/Alaskan,Unreported,CO,Gunshot,2011,34
20-30,Male,Race unspecified,Criminal,PA,Vehicle,2011,27
50-60,Male,European-American/White,Unreported,TN,Gunshot,2011,50
40-50,Female,European-American/White,Grand jury/No bill or Cleared,TX,Gunshot,2011,46
10-20,Male,Race unspecified,Unreported,FL,Gunshot,2011,18
40-50,Female,African-American/Black,Unreported,CA,Vehicle,2011,45
40-50,Male,Race unspecified,Unreported,KS,Vehicle,2011,44
60-70,Male,European-American/White,Grand jury/No bill or Cleared,TX,Gunshot,2011,60
30-40,Male,European-American/White,Unreported,CA,Gunshot,2011,38
30-40,Male,African-American/Black,Unreported,FL,Gunshot,2011,32
50-60,Male,European-American/White,Murder/suicide,CA,Gunshot,2011,55
60-70,Male,African-American/Black,Justified,NC,Gunshot,2011,64
30-40,Male,African-American/Black,Unreported,NJ,Gunshot,2011,33
10-20,Male,African-American/Black,Unreported,IL,Gunshot,2011,15
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,21
10-20,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,19
60-70,Male,Hispanic/Latino,Excusable,CA,Beaten/Bludgeoned with instrument,2011,65
10-20,Male,Race unspecified,Unreported,MN,Vehicle,2011,19
30-40,Male,Hispanic/Latino,Unreported,NJ,Asphyxiated/Restrained,2011,37
40-50,Male,European-American/White,Unreported,CA,Vehicle,2011,44
30-40,Male,European-American/White,Unreported,FL,Gunshot,2011,39
50-60,Female,European-American/White,Unreported,GA,Gunshot,2011,58
30-40,Male,Hispanic/Latino,Justified,NV,Gunshot,2011,35
40-50,Male,Race unspecified,Unreported,PA,Vehicle,2011,45
20-30,Male,Hispanic/Latino,Unreported,AZ,Gunshot,2011,25
30-40,Male,Race unspecified,Justified,CA,Gunshot,2011,32
30-40,Male,Hispanic/Latino,Justified,CA,Gunshot,2011,35
50-60,Male,European-American/White,Unreported,CA,Drowned,2011,52
20-30,Male,African-American/Black,Grand jury/No bill or Cleared,TX,Gunshot,2011,20
30-40,Female,European-American/White,Criminal,VA,Gunshot,2011,30
20-30,Male,African-American/Black,Justified by State Attorney,FL,Gunshot,2011,22
30-40,Male,Race unspecified,Civil suit/Results unreported,TN,Beaten/Bludgeoned with instrument,2011,39
40-50,Male,Race unspecified,Unreported,CA,Tasered,2011,44
30-40,Male,European-American/White,Justified,OK,Gunshot,2011,31
10-20,Male,African-American/Black,Civil suit/Family awarded money,IL,Gunshot,2011,19
20-30,Male,European-American/White,Unreported,OK,Gunshot,2011,20
20-30,Male,European-American/White,Unreported,TX,Gunshot,2011,29
20-30,Male,Race unspecified,Unreported,TX,Gunshot,2011,28
30-40,Male,Race unspecified,Unreported,CA,Gunshot,2011,32
20-30,Male,Asian/Pacific Islander,Criminal,OK,Gunshot,2011,24
20-30,Male,European-American/White,Unreported,MO,Gunshot,2011,28
20-30,Male,African-American/Black,Suicide,MS,Gunshot,2011,27
40-50,Male,European-American/White,Justified,MI,Gunshot,2011,47
20-30,Male,Hispanic/Latino,Unreported,NM,Gunshot,2011,23
10-20,Male,African-American/Black,Unreported,LA,Vehicle,2011,16
30-40,Male,European-American/White,Unreported,AZ,Gunshot,2011,30
40-50,Male,Hispanic/Latino,Justified,CA,Gunshot,2011,45
20-30,Male,Race unspecified,Suicide,NV,Gunshot,2011,22
20-30,Male,African-American/Black,Suicide,OK,Gunshot,2011,27
70+,Female,Race unspecified,Suicide,PA,Gunshot,2011,76
20-30,Male,Race unspecified,Justified,CA,Gunshot,2011,28
20-30,Male,Hispanic/Latino,Unreported,NJ,Drug overdose,2011,24
30-40,Female,European-American/White,Criminal,IN,Gunshot,2011,32
40-50,Male,African-American/Black,Unreported,TX,Medical emergency,2011,44
40-50,Male,Hispanic/Latino,Justified,NM,Gunshot,2011,41
20-30,Male,Hispanic/Latino,Unreported,CA,Asphyxiated/Restrained,2011,28
30-40,Male,African-American/Black,Unreported,FL,Tasered,2011,31
20-30,Male,European-American/White,Justified,WA,Gunshot,2011,27
30-40,Male,European-American/White,Justified,TN,Gunshot,2011,39
60-70,Male,Race unspecified,Unreported,CA,Gunshot,2011,60
20-30,Male,Hispanic/Latino,Justified,CA,Gunshot,2011,22
20-30,Male,European-American/White,Unreported,CA,Gunshot,2011,25
30-40,Male,European-American/White,Cleared,CO,Tasered,2011,34
60-70,Male,Race unspecified,Suicide,LA,Gunshot,2011,66
20-30,Male,African-American/Black,Unreported,FL,Gunshot,2011,29
20-30,Male,African-American/Black,Justified,IL,Gunshot,2011,29
50-60,Male,European-American/White,Medical emergency,TX,Medical emergency,2011,52
30-40,Male,Hispanic/Latino,Justified,CA,Gunshot,2011,34
50-60,Male,Hispanic/Latino,Unreported,FL,Gunshot,2011,51
30-40,Male,Race unspecified,Grand jury/No bill or Cleared,KY,Gunshot,2011,39
10-20,Male,European-American/White,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),PA,Gunshot,2011,17
70+,Male,Race unspecified,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),WI,Gunshot,2011,82
60-70,Male,Race unspecified,Justified,MO,Gunshot,2011,60
10-20,Male,African-American/Black,Unreported,TX,Gunshot,2011,17
30-40,Male,European-American/White,Justified,RI,Beaten/Bludgeoned with instrument,2011,34
40-50,Female,African-American/Black,Unreported,MI,Vehicle,2011,48
40-50,Female,African-American/Black,Unreported,NC,Gunshot,2011,45
30-40,Male,Race unspecified,Unreported,CA,Vehicle,2011,37
30-40,Male,European-American/White,Unreported,MO,Vehicle,2011,31
20-30,Male,African-American/Black,Unreported,FL,Gunshot,2011,24
10-20,Male,Hispanic/Latino,Justified,OH,Vehicle,2011,19
10-20,Male,Hispanic/Latino,Justified,OH,Vehicle,2011,18
30-40,Female,African-American/Black,Unreported,CA,Vehicle,2011,32
40-50,Male,European-American/White,Unreported,OH,Tasered,2011,41
30-40,Male,European-American/White,Justified,AL,Gunshot,2011,30
60-70,Male,European-American/White,Civil suit/Family awarded money,FL,Gunshot,2011,63
20-30,Male,Hispanic/Latino,Unreported,CA,Beaten/Bludgeoned with instrument,2011,23
10-20,Male,African-American/Black,Justified,IL,Gunshot,2011,18
20-30,Male,Race unspecified,Justified,MA,Gunshot,2011,25
50-60,Male,Race unspecified,Unreported,DC,Gunshot,2011,55
40-50,Male,Hispanic/Latino,Unreported,AZ,Gunshot,2011,43
50-60,Male,European-American/White,Justified,WA,Gunshot,2011,54
20-30,Male,African-American/Black,Justified,IL,Gunshot,2011,21
30-40,Male,European-American/White,Justified,OK,Gunshot,2011,34
30-40,Male,European-American/White,Justified,OK,Gunshot,2011,31
20-30,Male,European-American/White,Unreported,MD,Vehicle,2011,20
10-20,Female,Race unspecified,Unreported,MD,Vehicle,2011,19
40-50,Male,European-American/White,Unreported,TN,Gunshot,2011,47
20-30,Female,Asian/Pacific Islander,Unreported,CA,Vehicle,2011,22
20-30,Male,Hispanic/Latino,Cleared,CA,Gunshot,2011,20
20-30,Male,Race unspecified,Unreported,NC,Vehicle,2011,29
10-20,Male,African-American/Black,Unreported,IL,Gunshot,2011,16
30-40,Male,African-American/Black,Unreported,PA,Gunshot,2011,39
50-60,Male,European-American/White,Unknown,ID,Gunshot,2011,50
20-30,Male,Hispanic/Latino,Unreported,CA,Vehicle,2011,21
60-70,Male,Race unspecified,Justified,VA,Gunshot,2011,69
20-30,Male,Race unspecified,Justified,CA,Gunshot,2011,27
30-40,Male,European-American/White,Justified,CA,Gunshot,2011,37
30-40,Male,African-American/Black,Unreported,NJ,Drug overdose,2011,37
50-60,Male,African-American/Black,Grand jury/No bill or Cleared,OH,Gunshot,2011,53
Unknown,Male,Race unspecified,Unreported,IL,Gunshot,2011,0
50-60,Male,European-American/White,Justified,AZ,Gunshot,2011,50
20-30,Male,European-American/White,Unreported,MI,Vehicle,2011,21
30-40,Female,African-American/Black,Unreported,AR,Vehicle,2011,32
30-40,Male,European-American/White,Justified,WA,Gunshot,2011,33
20-30,Male,African-American/Black,Suicide,TX,Fell from a height,2011,28
10-20,Male,Race unspecified,Suicide,LA,Gunshot,2011,18
40-50,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,40
50-60,Male,African-American/Black,Justified,SC,Gunshot,2011,51
50-60,Female,African-American/Black,Justified,SC,Gunshot,2011,55
50-60,Male,European-American/White,Accidental,GA,Tasered,2011,55
30-40,Male,European-American/White,Justified,IA,Gunshot,2011,30
40-50,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,45
30-40,Male,Hispanic/Latino,Unreported,CA,Undetermined,2011,34
30-40,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,32
40-50,Male,European-American/White,Justified,FL,Gunshot,2011,43
30-40,Male,Hispanic/Latino,Justified,UT,Gunshot,2011,31
20-30,Male,African-American/Black,Unknown,FL,Gunshot,2011,23
50-60,Male,African-American/Black,Grand jury/No bill or Cleared,TX,Tasered,2011,54
30-40,Male,African-American/Black,Unreported,WI,Gunshot,2011,37
30-40,Male,Race unspecified,Justified,NH,Gunshot,2011,39
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2011,23
30-40,Male,Hispanic/Latino,Justified,AZ,Gunshot,2011,30
10-20,Male,Race unspecified,Unreported,PA,Gunshot,2011,19
30-40,Male,African-American/Black,Justified,TN,Gunshot,2011,34
20-30,Male,European-American/White,Unreported,CO,Gunshot,2011,21
70+,Male,European-American/White,Unreported,FL,Gunshot,2011,73
20-30,Female,Hispanic/Latino,Unreported,FL,Gunshot,2011,24
40-50,Male,Race unspecified,Unreported,MD,Tasered,2011,40
20-30,Male,European-American/White,Suicide,IL,Gunshot,2011,24
10-20,Male,Race unspecified,Unreported,NC,Vehicle,2011,16
50-60,Male,Race unspecified,Justified,CA,Gunshot,2011,55
20-30,Male,European-American/White,Unknown,WA,Gunshot,2011,25
20-30,Male,Race unspecified,Unreported,PA,Gunshot,2011,25
30-40,Male,African-American/Black,Grand jury/No bill or Cleared,GA,Gunshot,2011,37
30-40,Male,African-American/Black,Unreported,IL,Gunshot,2011,37
30-40,Male,African-American/Black,Justified,FL,Gunshot,2011,36
30-40,Male,Hispanic/Latino,Justified,FL,Gunshot,2011,39
50-60,Male,Hispanic/Latino,Justified,FL,Gunshot,2011,52
30-40,Male,Hispanic/Latino,Justified,FL,Gunshot,2011,39
40-50,Male,European-American/White,Unreported,NY,Gunshot,2011,45
40-50,Male,African-American/Black,Unreported,TX,Medical emergency,2011,41
30-40,Male,European-American/White,Unreported,CA,Gunshot,2011,36
30-40,Male,Race unspecified,Suicide,KY,Gunshot,2011,36
40-50,Male,European-American/White,Unreported,CA,Gunshot,2011,49
40-50,Male,European-American/White,Unreported,CA,Gunshot,2011,45
40-50,Male,European-American/White,Suicide,SC,Gunshot,2011,42
20-30,Female,African-American/Black,Drug overdose,PA,Drug overdose,2011,29
50-60,Male,Race unspecified,Unreported,WV,Gunshot,2011,50
20-30,Male,European-American/White,Justified,OH,Gunshot,2011,27
50-60,Male,European-American/White,Unreported,PA,Gunshot,2011,51
10-20,Male,European-American/White,Unreported,AK,Gunshot,2011,19
70+,Male,Asian/Pacific Islander,Justified,CA,Gunshot,2011,72
50-60,Male,Hispanic/Latino,Justified,NV,Gunshot,2011,54
20-30,Male,European-American/White,Unknown,WY,Gunshot,2011,24
40-50,Male,Hispanic/Latino,Accidental,CA,Tasered,2011,47
20-30,Male,European-American/White,Unreported,TX,Undetermined,2011,29
50-60,Male,European-American/White,Unreported,LA,Gunshot,2011,52
30-40,Male,European-American/White,Officer indicted/Acquitted,CA,Beaten/Bludgeoned with instrument,2011,37
70+,Male,European-American/White,Unreported,FL,Gunshot,2011,70
20-30,Male,African-American/Black,Suicide,VA,Gunshot,2011,21
60-70,Male,Race unspecified,Murder/suicide,CA,Gunshot,2011,62
30-40,Male,Race unspecified,Murder/suicide,CA,Gunshot,2011,36
40-50,Male,African-American/Black,Unreported,TX,Medical emergency,2011,42
30-40,Male,Race unspecified,Suicide,OH,Gunshot,2011,32
30-40,Male,Race unspecified,Unreported,IL,Vehicle,2011,39
20-30,Male,Race unspecified,Unreported,FL,Vehicle,2011,21
20-30,Male,African-American/Black,Unreported,WI,Medical emergency,2011,22
40-50,Female,European-American/White,Unreported,CA,Gunshot,2011,46
50-60,Male,European-American/White,Unreported,CA,Gunshot,2011,57
30-40,Male,African-American/Black,Suicide,MI,Gunshot,2011,34
40-50,Male,European-American/White,Suicide,NJ,Gunshot,2011,41
